contrato,Nome,Proc_dnit,Proc_ipaam,Contratos,Lote,Supervisao,Operacao
01 00032/2021,Novo Airão,50013.000232/2018-24,01.01.030201.023006/2024-98,SR-032/2021,"LOTE 6 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",R Peotta Engenharia e Consultoria LTDA.,Antonelly Construções e Serviços LTDA
15 00549/2021,Novo Aripuanã,50013.000870/2019-26,01.01.030201.024945/2024-50,SR-353/2021,"LOTE 3 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",R Peotta Engenharia e Consultoria LTDA,Antonelly Construções e Serviços LTDA
01 00915/2020,Parintins,50013.000438/2020-79,01.01.030201.019246/2024-98,DAQ-185/2023,"LOTE 1 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",R Peotta Engenharia e Consultoria LTDA.,Antonelly Construções e Serviços LTDA
01 00915/2020,Parintins (Vila Amazônia),50013.000267/2018-63,01.01.030201.017968/2024-08,DAQ-185/2023,"LOTE 1 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",R Peotta Engenharia e Consultoria LTDA.,Antonelly Construções e Serviços LTDA
01 00032/2021,Santa Isabel do Rio Negro,50013.000427/2018-74,01.01.030201.020275/2024-00,SR-032/2021,"LOTE 6 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",R Peotta Engenharia e Consultoria LTDA.,Antonelly Construções e Serviços LTDA
01 00352/2021,Santo Antônio do Içá,50600.001435/2025-47,01.01.030201.021333/2024-05,SR-352/2021,"LOTE 2 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",Laghi Engenharia LTDA,Antonelly Construções e Serviços LTDA
01 00352/2021,São Paulo de Olivença,50601.000824/2021-11,1996.2020,SR-352/2021,"LOTE 2 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",Laghi Engenharia LTDA,Antonelly Construções e Serviços LTDA
01 00032/2021,Manaus (São Raimundo),50601.002034/2020-90,01.01.030201.000598/2024-70,SR-032/2021,"LOTE 6 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",R Peotta Engenharia e Consultoria LTDA.,Antonelly Construções e Serviços LTDA
01 00915/2020,São Sebastião do Uatumã,50601.001638/2021-08,,DAQ-185/2023,"LOTE 1 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",R Peotta Engenharia e Consultoria LTDA.,Antonelly Construções e Serviços LTDA
01 00915/2020,Silves,50601.001632/2020-41,01.01.030201.021579/2024-87,DAQ-185/2023,"LOTE 1 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",R Peotta Engenharia e Consultoria LTDA.,Antonelly Construções e Serviços LTDA
01 00352/2021,Tabatinga,50013.000173/2018-94,01.01.030201.019801/2024-81,SR-352/2021,"LOTE 2 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",R Peotta Engenharia e Consultoria LTDA.,Antonelly Construções e Serviços LTDA
01 00916/2020,Tapauá,50013.000058/2020-34,01.01.030201.023625/2024-82,DAQ-186/2023,"LOTE 5 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",Laghi Engenharia LTDA,Antonelly Construções e Serviços LTDA
01 00354/2021,Tefé,50601.000029/2019-17,01.01.030201.021692/2024-62,SR-354-2021,LOTE 4 - MANUTENÇÃO E REGULARIZAÇÃO DE IP4s,Laghi Engenharia LTDA,Antonelly Construções e Serviços LTDA
01 00352/2021,Tonantins,50013.000074/2020-27,01.01.030201.020208/2024-88,SR-352/2021,"LOTE 2 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",R Peotta Engenharia e Consultoria LTDA.,Antonelly Construções e Serviços LTDA
01 00915/2020,Urucará,50013.000072/2020-38,01.01.030201.001341/2025-16,DAQ-185/2023,"LOTE 1 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",R Peotta Engenharia e Consultoria LTDA.,Antonelly Construções e Serviços LTDA
01 00353/2021,Urucurituba,50013.000542/2018-49,01.01.030201.020342/2024-89,SR-353/2021,"LOTE 3 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",R Peotta Engenharia e Consultoria LTDA.,Antonelly Construções e Serviços LTDA
01 00353/2021,Apuí,50601.001673/2022-08,3714/T/07,SR-353/2021,"LOTE 3 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",R Peotta Engenharia e Consultoria LTDA.,Antonelly Construções e Serviços LTDA
